epoch,Train_loss,Test_loss,Train_f1_score,Train_auroc,Test_f1_score,Test_auroc
1,0.049935270100831985,0.044911015778779984,0.4739255858036966,0.9110526547288162,0.7792195984438651,0.8680275442995712
2,0.03302372992038727,0.01743210293352604,0.6151570826923918,0.9541812765869642,0.707940797502712,0.8710652819265667
3,0.02358260750770569,0.011107810772955418,0.6779812370946992,0.959253854990327,0.7665915476395724,0.8718533674318876
4,0.02153784967958927,0.03006644733250141,0.7255988495599355,0.9613514183941213,0.7928422056902278,0.8687649059545784
5,0.020102674141526222,0.023617131635546684,0.7717968429864586,0.9616253733810752,0.7949794237073529,0.87067970714072
6,0.013089952059090137,0.016846615821123123,0.8052484804648052,0.9620293177936075,0.8006991718292413,0.8700708900254197
7,0.013305066153407097,0.02471757121384144,0.8276184880478265,0.9622331812874799,0.775818197226636,0.8696871205333967
8,0.01115422509610653,0.013840331695973873,0.8257145676321369,0.9622824802685872,0.8036591108471366,0.8703608319649422
9,0.009186012670397758,0.02111191302537918,0.8569449089208496,0.9624489253410077,0.7986567483502905,0.8685811935516227
10,0.00904760230332613,0.01417418010532856,0.8518153191556425,0.9624376667965165,0.7958530244793103,0.870786151556877
